P_det_bar_EVAL_OFF,P_det_bar_EVAL_VIEWER,Y_p0.1,Y_p99.9,amb,bar_weber_displayed,clipped_pct,config,dark_log_range,dark_median,donor,file,geom,halo_ratio,headroom,lamp_d_uv,lamp_saturation_retention,lum,near_black_pct,peak,plateau_diam_max_arcmin,plateau_diam_median_arcmin,plateau_n,scene,sky_median,source_bg_contrast,used_log_range
0.999861,0.999119,0.10000001000000001,0.4034594756032777,DARK,0.7521436078543606,0.0,native_default,0.0,0.4034594756032777,pcond,d0/work/out/pcond/native_default/S3_bar__PHONE_SDR100_DARK.png,PHONE,1.0001560718477975,247.85636736000257,0.04019622229985745,0.5391813740327149,SDR100,0.6249869685786368,81.54997521488765,,,0,S3_bar,0.4034594756032777,202.126806150603,0.6057998762836182
0.999862,0.996648,0.0050000005,0.1348395306698976,DARK,0.9629188823547558,0.0,target_BRIGHT500,0.0,0.1348395306698976,pcond,d0/work/out/pcond/target_BRIGHT500/S3_bar__PHONE_BRIGHT500_DARK.png,PHONE,1.0002037497947902,3708.111393713291,0.040080533973045916,0.5403935929852896,BRIGHT500,0.6249869685786368,280.29759377749974,,,0,S3_bar,0.1348395306698976,2078.7494022335327,1.4308471844561452
0.99975,0.997146,0.20000002000000003,0.4377161735350403,DARK,0.5430828648967215,0.0,target_SDR200,0.0,0.4377161735350403,pcond,d0/work/out/pcond/target_SDR200/S3_bar__PHONE_SDR200_DARK.png,PHONE,1.0001183992453517,456.91708941156935,0.04052895670654341,0.5350330079257024,SDR200,0.6249869685786368,130.95038513074152,,,0,S3_bar,0.4377161735350403,299.1673441563123,0.34016255492030373
-1.3e-05,-1.3e-05,0.0050000005,0.0050000005,DARK,0.0,0.001042513709055274,ctrl_photometric_clamp,0.0,0.0050000005,controls,d0/work/out/controls/ctrl_photometric_clamp/S3_bar__PHONE_BRIGHT500_DARK.png,PHONE,1.0,99999.99000000101,0.05229700340709403,0.3999687498298857,BRIGHT500,99.99687245887283,500.00005,1.8548698637186507,1.8548698637186507,1,S3_bar,0.0050000005,100000.0,0.0
0.009805,0.000761,0.005,0.0053993173336336795,DARK,0.07395700399867806,0.001042513709055274,ctrl_photometric_clamp,0.0,0.0053993173336336795,controls,d0/work/out/controls/ctrl_photometric_clamp/S3_bar__PHONE_HDR1000_DARK.png,PHONE,1.0000397267725007,185208.59920026432,0.049726546418406764,0.4308227392151532,HDR1000,0.6249869685786368,995.1528355394098,1.8548698637186507,1.8548698637186507,1,S3_bar,0.0053993173336336795,184310.8626604251,0.03336884863920936
-1.3e-05,-1.3e-05,0.10000001000000001,0.10000001000000001,DARK,0.0,0.001042513709055274,ctrl_photometric_clamp,0.0,0.10000001000000001,controls,d0/work/out/controls/ctrl_photometric_clamp/S3_bar__PHONE_SDR100_DARK.png,PHONE,1.0,999.9999000000098,0.05463786733049783,0.37364654315878487,SDR100,99.99687245887283,100.00001,1.8548698637186507,1.8548698637186507,1,S3_bar,0.10000001000000001,999.9999999999999,0.0
-1.3e-05,-1.3e-05,0.20000002000000003,0.20000002000000003,DARK,0.0,0.001042513709055274,ctrl_photometric_clamp,0.0,0.20000002000000003,controls,d0/work/out/controls/ctrl_photometric_clamp/S3_bar__PHONE_SDR200_DARK.png,PHONE,1.0,999.9999000000098,0.0613870990081296,0.3043387703669864,SDR200,99.99687245887283,200.00002,1.8548698637186507,1.8548698637186507,1,S3_bar,0.20000002000000003,999.9999999999999,0.0
0.9999,0.999897,0.0050000005,97.52644147722374,DARK,0.9999487318472379,0.0031275411271658223,ctrl_key018_clamp,0.0,97.52644147722374,controls,d0/work/out/controls/ctrl_key018_clamp/S3_bar__PHONE_BRIGHT500_DARK.png,PHONE,1.0005377581218255,5.126814763530254,0.08710342213234262,0.0006182344369462299,BRIGHT500,0.6249869685786368,500.00005,3.2127288453890626,3.2127288453890626,1,S3_bar,97.52644147722374,5.1268152762117305,4.290152330300421
0.9999,0.999897,0.005,195.0466090000442,DARK,0.9999743651016255,0.0031275411271658223,ctrl_key018_clamp,0.0,195.0466090000442,controls,d0/work/out/controls/ctrl_key018_clamp/S3_bar__PHONE_HDR1000_DARK.png,PHONE,1.0005379271175148,5.126979674892852,0.08712204844630674,0.00041363091232827625,HDR1000,0.6249869685786368,1000.0,3.2127288453890626,3.2127288453890626,1,S3_bar,195.0466090000442,5.126979674892852,4.591168399912557
0.9999,0.999896,0.10000001000000001,19.505319970066786,DARK,0.9948731930492061,0.0031275411271658223,ctrl_key018_clamp,0.0,19.505319970066786,controls,d0/work/out/controls/ctrl_key018_clamp/S3_bar__PHONE_SDR100_DARK.png,PHONE,1.0005377110894464,5.126806438113386,0.08710342213234272,0.0006182344369451362,SDR100,0.6249869685786368,100.00001,3.2127288453890626,3.2127288453890626,1,S3_bar,19.505319970066786,5.12680695079403,2.2901530355503095
0.9999,0.999896,0.20000002000000003,39.010013145998414,DARK,0.994873110674137,0.0031275411271658223,ctrl_key018_clamp,0.0,39.010013145998414,controls,d0/work/out/controls/ctrl_key018_clamp/S3_bar__PHONE_SDR200_DARK.png,PHONE,1.0005379059395199,5.126888813174258,0.08710342213234272,0.0006182344369451362,SDR200,0.6249869685786368,200.00002,3.2127288453890626,3.2127288453890626,1,S3_bar,39.010013145998414,5.126889325863139,2.290146057571443
0.980365,0.668517,0.0050000005,0.01551945216938404,DARK,0.6778236470315789,0.001042513709055274,target_whiteanchor,0.0,0.01551945216938404,mantiuk08,d0/work/out/mantiuk08/target_whiteanchor/S3_bar__PHONE_BRIGHT500_DARK.png,PHONE,1.0024543038318783,32217.6320750789,0.052969113983139963,0.39229719991013645,BRIGHT500,0.6249869685786368,500.00005,1.8548698637186507,1.8548698637186507,1,S3_bar,0.01551945216938404,32217.635296842105,0.4919063390012462
0.978794,0.529567,0.005,0.015423429337590501,DARK,0.675817881318143,0.001042513709055274,target_whiteanchor,0.0,0.015423429337590501,mantiuk08,d0/work/out/mantiuk08/target_whiteanchor/S3_bar__PHONE_HDR1000_DARK.png,PHONE,1.002410836389978,64836.42373637141,0.052820573165417994,0.39398729638863234,HDR1000,0.6249869685786368,999.9834788603439,1.8548698637186507,1.8548698637186507,1,S3_bar,0.015423429337590501,64835.35256476006,0.48921094375020435
0.999306,0.993481,0.10000001000000001,0.1753278858498982,DARK,0.42964001695878484,0.001042513709055274,target_whiteanchor,0.0,0.1753278858498982,mantiuk08,d0/work/out/mantiuk08/target_whiteanchor/S3_bar__PHONE_SDR100_DARK.png,PHONE,1.0011321500865409,570.3599260052223,0.05508197717384455,0.3686039351716189,SDR100,0.6249869685786368,100.00001,1.8548698637186507,1.8548698637186507,1,S3_bar,0.1753278858498982,570.359983041215,0.2438509525707011
0.999444,0.993877,0.20000002000000003,0.31947119000724455,DARK,0.3739653957670967,0.001042513709055274,target_whiteanchor,0.0,0.31947119000724455,mantiuk08,d0/work/out/mantiuk08/target_whiteanchor/S3_bar__PHONE_SDR200_DARK.png,PHONE,1.0008778358518564,626.0345416294491,0.05505015833442274,0.368955967038472,SDR200,0.6249869685786368,200.00002,1.8548698637186507,1.8548698637186507,1,S3_bar,0.31947119000724455,626.0346042329033,0.2034016603805566
0.985072,0.571422,0.0050000005,0.017901867320985004,DARK,0.7206994996472308,0.0031275411271658223,target_whiteauto,0.0,0.017901867320985004,mantiuk08,d0/work/out/mantiuk08/target_whiteauto/S3_bar__PHONE_BRIGHT500_DARK.png,PHONE,1.004392312868101,27930.047242272198,0.08710342213234262,0.0006182344369462299,BRIGHT500,0.6249869685786368,500.00005,3.2127288453890626,3.2127288453890626,1,S3_bar,0.017901867320985004,27930.050035276923,0.5539282862816228
0.98352,0.427634,0.005,0.01780804381987603,DARK,0.7192280044583352,0.0031275411271658223,target_whiteauto,0.0,0.01780804381987603,mantiuk08,d0/work/out/mantiuk08/target_whiteauto/S3_bar__PHONE_HDR1000_DARK.png,PHONE,1.0044333992333074,56154.39910833291,0.08710503146682871,0.000599823610538117,HDR1000,0.6249869685786368,999.9834788603439,3.2127288453890626,3.2127288453890626,1,S3_bar,0.01780804381987603,56153.471373662935,0.5516462113151569
